Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
advies,advice,"noun, het",-,-,-,De docent gaf mij het dwingende advies om elke dag minstens dertig minuten korte teksten te lezen om mijn niveau te verhogen.,The teacher gave me the urgent advice to read short texts for at least thirty minutes every day to raise my level.,
aanvraag,application,"noun, de",-,-,-,Ik heb de officiële aanvraag voor een parkeervergunning online ingevuld en daarna per beveiligde e-mail naar de gemeente verstuurd.,I filled in the official application for a parking permit online and then sent it to the municipality via secure email.,
afspraak,appointment,"noun, de",-,-,-,Ik heb voor morgenochtend een afspraak gemaakt bij de gemeente om mijn nieuwe identiteitsdocumenten persoonlijk in te leveren.,I made an appointment at the municipality for tomorrow morning to hand in my new identity documents in person.,
ervaring,experience,"noun, de",-,-,-,Door mijn uitgebreide werkervaring in de logistiek kan ik nieuwe processen en taken binnen het bedrijf veel sneller begrijpen.,"Because of my extensive work experience in logistics, I can understand new processes and tasks within the company much faster.",
situatie,situation,"noun, de",-,-,-,In deze complexe situatie is het van groot belang om rustig te blijven en goed te luisteren naar wat de experts te zeggen hebben.,"In this complex situation, it is of great importance to stay calm and listen carefully to what the experts have to say.",
aanraden,to recommend,"verb, regular",raad aan,raadde aan,zal aanraden,Ik kan deze specifieke cursus aanraden omdat de opbouw heel goed past bij de leerstijl van gemotiveerde beginners.,I can recommend this specific course because the structure fits the learning style of motivated beginners very well.,
afspreken,to agree/meet,"verb, separable",spreek af,sprak af,zal afspreken,We hebben gisteren met de hele groep afgesproken om morgen na de les samen te gaan oefenen voor het mondelinge examen.,We agreed with the whole group yesterday to practice together for the oral exam tomorrow after class.,
meedoen,to participate,"verb, separable",doe mee,deed mee,zal meedoen,Ik doe mee aan de intensieve taalcursus zodat ik mijn Nederlands zo snel mogelijk kan verbeteren voor mijn nieuwe baan.,I am participating in the intensive language course so that I can improve my Dutch as quickly as possible for my new job.,
uitleggen,to explain,"verb, separable",leg uit,legde uit,zal uitleggen,"De ervaren leraar legt stap voor stap uit hoe de ingewikkelde opdracht werkt, zodat iedereen het direct begrijpt.","The experienced teacher explains step by step how the complicated assignment works, so that everyone understands it immediately.",
voorbereiden,to prepare,"verb, regular",bereid voor,bereidde voor,zal voorbereiden,Ik bereid me elke avond goed voor op de volgende les zodat ik aanzienlijk minder stress heb tijdens het uiteindelijke examen.,I prepare well every evening for the next lesson so that I have significantly less stress during the final exam.,
verplicht,mandatory,adjective,-,-,-,Het is in Nederland wettelijk verplicht om altijd een geldig identiteitsbewijs bij je te hebben wanneer je over straat gaat.,"In the Netherlands, it is legally mandatory to always have a valid ID with you when you are out on the street.",
beschikbaar,available,adjective,-,-,-,De vriendelijke docent is deze week elke middag beschikbaar voor studenten die extra vragen hebben over de grammatica.,The friendly teacher is available every afternoon this week for students who have extra questions about the grammar.,
duidelijk,clear,adjective,-,-,-,"De uitleg over de nieuwe regels was heel duidelijk, waardoor iedereen in het team de opdracht meteen correct begreep.","The explanation about the new rules was very clear, so everyone on the team understood the task correctly right away.",
tevreden,satisfied,adjective,-,-,-,"Ik ben erg tevreden met mijn behaalde resultaten, ook al maak ik soms nog kleine fouten bij het schrijven van brieven.","I am very satisfied with my achieved results, even though I still sometimes make small mistakes when writing letters.",
moeilijk,difficult,adjective,-,-,-,"In het begin vond ik luisteren naar het nieuws erg moeilijk, vooral wanneer de presentatoren heel snel achter elkaar praten.","In the beginning, I found listening to the news very difficult, especially when the presenters speak very fast in succession.",
daardoor,therefore,adverb,-,-,-,"Het regende de hele dag onophoudelijk, daardoor bleven we gezellig thuis om te studeren in plaats van naar het park te gaan.","It rained incessantly all day; therefore, we stayed comfortably at home to study instead of going to the park.",
bijvoorbeeld,for example,adverb,-,-,-,"Sommige Nederlandse woorden zijn lastig te onthouden, bijvoorbeeld omdat ze meerdere betekenissen hebben in verschillende contexten.","Some Dutch words are hard to remember, for example, because they have multiple meanings in different contexts.",
meestal,usually,adverb,-,-,-,Meestal studeer ik mijn Nederlandse woordjes in de avond na mijn werk wanneer het eindelijk stil en rustig is in huis.,I usually study my Dutch words in the evening after work when it is finally silent and quiet in the house.,
uiteindelijk,eventually,adverb,-,-,-,Uiteindelijk heb ik het landelijke examen gehaald door elke dag urenlang te oefenen en nooit de hoop op succes op te geven.,"Eventually, I passed the national exam by practicing for hours every day and never giving up hope for success.",
vooral,especially,adverb,-,-,-,"Ik vind schrijven in een andere taal erg lastig, vooral als ik weinig tijd heb om over de juiste zinsconstructie na te denken.","I find writing in another language very tricky, especially when I have little time to think about the correct sentence structure.",
adres,address,"noun, het",-,-,-,Ik heb je huidige woonadres dringend nodig zodat ik de belangrijke brief vandaag nog met de post naar je kan opsturen.,I urgently need your current home address so I can send the important letter to you by mail today.,
bericht,message,"noun, het",-,-,-,"Ik heb je korte bericht op mijn telefoon gelezen, maar door de drukte op kantoor kon ik helaas nog niet uitgebreid antwoorden.","I read your short message on my phone, but due to the busyness at the office, I unfortunately couldn't reply in detail yet.",
informatie,information,"noun, de",-,-,-,Op de officiële website staat alle relevante informatie die je nodig hebt voor de voorbereiding op het inburgeringsexamen.,The official website contains all the relevant information you need for the preparation for the integration exam.,
keuze,choice,"noun, de",-,-,-,"Je moet uiteindelijk zelf een weloverwogen keuze maken, want niemand anders kan die belangrijke beslissing voor jou nemen.","You eventually have to make a well-considered choice yourself, because no one else can make that important decision for you.",
