Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
trein,train,"noun, de",-,-,-,De trein naar Amsterdam heeft vandaag helaas een vertraging van ruim tien minuten door een defect spoor.,The train to Amsterdam unfortunately has a delay of over ten minutes today due to a defective track.,
bus,bus,"noun, de",-,-,-,Ik neem elke ochtend de bus naar het station omdat het te ver is om elke dag te gaan lopen.,I take the bus to the station every morning because it is too far to walk every day.,
fiets,bicycle,"noun, de",-,-,-,In Nederland gebruikt bijna iedereen de fiets om naar het werk of naar de supermarkt in de buurt te gaan.,"In the Netherlands, almost everyone uses the bicycle to go to work or to the supermarket nearby.",
auto,car,"noun, de",-,-,-,"Mijn auto staat momenteel bij de garage voor een grote beurt, dus ik moet deze week met het openbaar vervoer reizen.","My car is currently at the garage for a major service, so I have to travel by public transport this week.",
vliegtuig,airplane,"noun, het",-,-,-,Het vliegtuig vertrok precies op tijd vanaf Schiphol voor de lange reis naar de Verenigde Staten.,The airplane departed exactly on time from Schiphol for the long journey to the United States.,
boot,boat,"noun, de",-,-,-,We hebben afgelopen zomer een kleine boot gehuurd om een hele middag op de Friese meren te gaan varen.,Last summer we rented a small boat to go sailing on the Frisian lakes for an entire afternoon.,
station,station,"noun, het",-,-,-,"Ik wacht op je bij de hoofdingang van het station, vlakbij de grote piano die daar in de hal staat.","I am waiting for you at the main entrance of the station, near the large piano that stands there in the hall.",
halte,stop (bus/tram),"noun, de",-,-,-,"De bus stopt bij de volgende halte, dus vergeet niet om op tijd op het knopje te drukken als je eruit wilt.","The bus stops at the next stop, so don't forget to press the button on time if you want to get out.",
kaartje,ticket,"noun, het",-,-,-,"Heb je al een kaartje gekocht voor het concert van morgenavond, of zijn de tickets inmiddels al helemaal uitverkocht?","Have you already bought a ticket for tomorrow night's concert, or are the tickets completely sold out by now?",
reis,journey / trip,"noun, de",-,-,-,De reis naar het zuiden van Frankrijk duurde veel langer dan we van tevoren hadden verwacht door de vele files.,The journey to the south of France took much longer than we had expected beforehand due to the many traffic jams.,
vakantie,holiday / vacation,"noun, de",-,-,-,We gaan dit jaar voor het eerst met het hele gezin op vakantie naar een zonnig eiland in Griekenland.,This year we are going on holiday with the whole family for the first time to a sunny island in Greece.,
vertrek,departure,"noun, het",-,-,-,"Het geplande vertrek van de trein is om drie uur, dus we moeten nu echt opschieten om hem niet te missen.","The planned departure of the train is at three o'clock, so we really have to hurry now not to miss it.",
aankomst,arrival,"noun, de",-,-,-,De verwachte aankomst van het vliegtuig is een half uur eerder dan gepland dankzij de sterke rugwind tijdens de vlucht.,The expected arrival of the airplane is half an hour earlier than planned thanks to the strong tailwind during the flight.,
vertraging,delay,"noun, de",-,-,-,Door een technische storing heeft mijn trein helaas een vertraging van twintig minuten opgelopen op weg naar Utrecht.,"Due to a technical malfunction, my train unfortunately incurred a twenty-minute delay on the way to Utrecht.",
kopen,to buy,"verb, regular",koop,kocht,zal kopen,Ik wil morgen een nieuwe laptop kopen omdat mijn oude computer echt veel te traag is geworden voor mijn werk.,I want to buy a new laptop tomorrow because my old computer has really become much too slow for my work.,
verkopen,to sell,"verb, regular",verkoop,verkocht,zal verkopen,Wij gaan ons oude huis verkopen omdat we onlangs een grotere woning met een tuin hebben gekocht in een ander dorp.,We are going to sell our old house because we recently bought a larger home with a garden in another village.,
betalen,to pay,"verb, regular",betaal,betaalde,zal betalen,Je kunt hier zowel met contant geld als met je pinpas betalen bij de kassa van deze supermarkt.,You can pay here with both cash and your debit card at the checkout of this supermarket.,
