Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
zoon,son,"noun, de",-,-,-,Mijn zoon studeert momenteel geneeskunde aan de universiteit van Leiden omdat hij later graag chirurg wil worden.,My son is currently studying medicine at Leiden University because he would like to become a surgeon later.,
dochter,daughter,"noun, de",-,-,-,"Onze dochter gaat elke zaterdag naar de muziekschool om piano te leren spelen, wat ze ontzettend leuk vindt.","Our daughter goes to music school every Saturday to learn to play the piano, which she enjoys enormously.",
broer,brother,"noun, de",-,-,-,"Mijn oudere broer woont en werkt al jaren in het buitenland, maar we bellen elkaar gelukkig nog elke week.","My older brother has been living and working abroad for years, but fortunately we still call each other every week.",
zus,sister,"noun, de",-,-,-,Mijn jongere zus is onlangs verhuisd naar een gezellig appartement in het centrum van de stad voor haar nieuwe baan.,My younger sister recently moved to a cozy apartment in the city center for her new job.,
familie,family,"noun, de",-,-,-,De hele familie komt tijdens de feestdagen bij elkaar om gezellig te eten en cadeautjes met elkaar uit te wisselen.,The whole family gets together during the holidays to eat comfortably and exchange gifts with each other.,
hoofd,head,"noun, het",-,-,-,"Ik heb vandaag vreselijke last van mijn hoofd, waarschijnlijk omdat ik gisteren te lang achter de computer heb gezeten.","I have a terrible headache today, probably because I sat behind the computer for too long yesterday.",
hand,hand,"noun, de",-,-,-,Vergeet niet om je handen grondig te wassen met zeep voordat je begint met het bereiden van het avondeten.,Don't forget to wash your hands thoroughly with soap before you start preparing dinner.,
voet,foot,"noun, de",-,-,-,Na die lange wandeling door het bos heb ik echt heel erg veel pijn aan mijn voeten gekregen.,"After that long walk through the forest, my feet have really started to hurt a lot.",
rug,back,"noun, de",-,-,-,Hij heeft vaak last van zijn rug omdat hij de hele dag op een oncomfortabele stoel op kantoor moet zitten.,He often suffers from back pain because he has to sit on an uncomfortable chair at the office all day.,
buik,stomach / belly,"noun, de",-,-,-,Het kind heeft last van zijn buik omdat hij waarschijnlijk iets te veel snoepjes heeft gegeten vanmiddag.,The child has a stomach ache because he probably ate a few too many candies this afternoon.,
been,leg,"noun, het",-,-,-,Tijdens het voetballen is hij ongelukkig gevallen en nu heeft hij helaas een gebroken been.,"While playing football, he fell unfortunately and now he has a broken leg, sadly.",
arm,arm,"noun, de",-,-,-,"Ze droeg een zware tas aan haar arm, waardoor ze na een tijdje behoorlijk veel spierpijn kreeg.","She carried a heavy bag on her arm, which caused her quite a lot of muscle pain after a while.",
gezicht,face,"noun, het",-,-,-,Ze had een grote glimlach op haar gezicht toen ze hoorde dat ze eindelijk was geslaagd voor haar examen.,She had a big smile on her face when she heard that she had finally passed her exam.,
oog,eye,"noun, het",-,-,-,Je moet je ogen goed laten testen bij de opticien als je merkt dat je de letters op het bord niet meer goed kunt lezen.,You should have your eyes tested properly at the optician if you notice that you can no longer read the letters on the board well.,
oor,ear,"noun, het",-,-,-,"Ik hoorde het nieuws met mijn eigen oren, maar ik kon het op dat moment eerlijk gezegd nauwelijks geloven.","I heard the news with my own ears, but at that moment I could honestly hardly believe it.",
mond,mouth,"noun, de",-,-,-,Doe je mond eens wijd open zodat de tandarts je tanden en kiezen goed kan controleren op gaatjes.,Open your mouth wide so the dentist can check your teeth and molars properly for cavities.,
neus,nose,"noun, de",-,-,-,"Ik heb een verstopte neus door de verkoudheid, waardoor ik momenteel helaas bijna niets meer kan ruiken of proeven.","I have a stuffy nose due to the cold, which means I unfortunately can hardly smell or taste anything right now.",
haar,hair,"noun, het",-,-,-,Ze heeft prachtig lang blond haar dat ze meestal in een staart draagt tijdens het sporten in de sportschool.,She has beautiful long blonde hair that she usually wears in a ponytail while exercising in the gym.,
hart,heart,"noun, het",-,-,-,Je moet goed voor je hart zorgen door gezond te eten en elke dag voldoende lichaamsbeweging te krijgen.,You must take good care of your heart by eating healthily and getting enough physical exercise every day.,
bloed,blood,"noun, het",-,-,-,De arts nam wat bloed af voor onderzoek om te kijken of er misschien sprake is van een tekort aan vitaminen.,The doctor took some blood for testing to see if there might be a vitamin deficiency.,
kleur,color,"noun, de",-,-,-,Wat is jouw favoriete kleur voor de muren in de nieuwe woonkamer? Ik denk zelf aan een lichte tint blauw.,What is your favorite color for the walls in the new living room? I'm thinking of a light shade of blue myself.,
rood,red,adjective,-,-,-,"Stop direct wanneer het stoplicht op rood springt, anders kun je een behoorlijk hoge boete krijgen van de politie.","Stop immediately when the traffic light turns red; otherwise, you can get a fairly high fine from the police.",
blauw,blue,adjective,-,-,-,De lucht is vandaag prachtig blauw en er is werkelijk geen enkel wolkje aan de hemel te zien.,The sky is a beautiful blue today and there is truly not a single cloud to be seen in the sky.,
groen,green,adjective,-,-,-,In de lente worden de bomen weer prachtig groen en beginnen de bloemen in de tuin eindelijk weer te bloeien.,"In spring, the trees turn a beautiful green again and the flowers in the garden finally start blooming again.",
geel,yellow,adjective,-,-,-,"De citroen is erg geel en smaakt ontzettend zuur, maar het is wel erg lekker in een glas koud water.","The lemon is very yellow and tastes incredibly sour, but it is very nice in a glass of cold water.",
wit,white,adjective,-,-,-,Het kleine huisje met de witte muren ziet er erg schattig uit tussen al die grote moderne gebouwen in de stad.,The little house with the white walls looks very cute among all those large modern buildings in the city.,
zwart,black,adjective,-,-,-,Hij draagt altijd zwarte kleding omdat hij dat een stoere kleur vindt die overal goed bij past.,He always wears black clothing because he thinks it's a cool color that goes well with everything.,
grijs,grey,adjective,-,-,-,"De lucht ziet er vandaag erg grijs en dreigend uit, ik denk dat het binnenkort hard gaat regenen.",The sky looks very grey and threatening today; I think it's going to rain hard soon.,
bruin,brown,adjective,-,-,-,Mijn nieuwe schoenen zijn gemaakt van donkerbruin leer en ze zitten vanaf het eerste moment erg comfortabel.,My new shoes are made of dark brown leather and they have been very comfortable from the first moment.,
oranje,orange,adjective,-,-,-,Tijdens Koningsdag kleurt heel Nederland oranje omdat iedereen de verjaardag van de koning uitbundig viert.,"During King's Day, the entire Netherlands turns orange because everyone celebrates the King's birthday exuberantly.",
tafel,table,"noun, de",-,-,-,Kun je de borden en het bestek alvast op de grote tafel in de keuken leggen voor het avondeten?,Can you already put the plates and cutlery on the large table in the kitchen for dinner?,
stoel,chair,"noun, de",-,-,-,"Deze houten stoel zit niet zo lekker, ik denk dat ik morgen een zacht kussen ga kopen voor mijn rug.",This wooden chair isn't very comfortable; I think I'll buy a soft cushion for my back tomorrow.,
bed,bed,"noun, het",-,-,-,Ik ga vanavond vroeg naar bed omdat ik morgenochtend een belangrijke presentatie moet geven op mijn werk.,I'm going to bed early tonight because I have to give an important presentation at work tomorrow morning.,
bank,couch / bank,"noun, de",-,-,-,Na een lange dag werken vind ik het heerlijk om even rustig op de bank te liggen en televisie te kijken.,"After a long day of work, I love to lie quietly on the couch for a while and watch television.",
kast,cupboard / closet,"noun, de",-,-,-,"Zet de schone glazen maar achteraan in de kast, zodat de oude glazen vooraan blijven staan.",Just put the clean glasses at the back of the cupboard so that the old glasses stay at the front.,
raam,window,"noun, het",-,-,-,"Doe het raam alsjeblieft even dicht, want er komt veel lawaai van de straat naar binnen tijdens de les.","Please close the window for a moment, because a lot of noise from the street is coming inside during the lesson.",
deur,door,"noun, de",-,-,-,Vergeet niet om de voordeur op slot te doen voordat je vanavond naar boven gaat om te slapen.,Don't forget to lock the front door before you go upstairs to sleep tonight.,
muur,wall,"noun, de",-,-,-,We willen deze muur in de woonkamer graag een andere kleur geven om de ruimte wat gezelliger te maken.,We would like to give this wall in the living room a different color to make the room a bit cozier.,
vloer,floor,"noun, de",-,-,-,"Pas op dat je niet uitglijdt over de natte vloer, ik heb hem namelijk net gedweild met veel water.",Be careful not to slip on the wet floor; I just mopped it with plenty of water.,
plafond,ceiling,"noun, het",-,-,-,Er zit een kleine scheur in het plafond van de badkamer die we zo snel mogelijk moeten laten repareren.,There is a small crack in the bathroom ceiling that we need to have repaired as soon as possible.,
keuken,kitchen,"noun, de",-,-,-,De keuken in ons nieuwe huis is erg modern en voorzien van alle apparatuur die ik nodig heb om te koken.,The kitchen in our new house is very modern and equipped with all the appliances I need for cooking.,
badkamer,bathroom,"noun, de",-,-,-,Ik moet even snel naar de badkamer om mijn tanden te poetsen en mijn gezicht te wassen voor we weggaan.,I just need to go to the bathroom quickly to brush my teeth and wash my face before we leave.,
slaapkamer,bedroom,"noun, de",-,-,-,"Onze slaapkamer is erg licht en ruim, met een groot raam dat uitkijkt over de rustige binnentuin.","Our bedroom is very bright and spacious, with a large window overlooking the quiet courtyard garden.",
tuin,garden,"noun, de",-,-,-,In de zomer zitten we elke avond gezellig in de tuin te eten terwijl we genieten van de ondergaande zon.,"In summer, we sit comfortably in the garden every evening to eat while enjoying the setting sun.",
garage,garage,"noun, de",-,-,-,"Mijn auto staat veilig geparkeerd in de garage, zodat ik hem morgenochtend niet hoef te krabben als het vriest.",My car is safely parked in the garage so I don't have to scrape the ice tomorrow morning if it freezes.,
sleutel,key,"noun, de",-,-,-,"Ik kan mijn fietssleutel nergens meer vinden, heb jij hem misschien ergens op de tafel zien liggen?",I can't find my bike key anywhere; have you perhaps seen it lying on the table somewhere?,
licht,light,"noun, het",-,-,-,Doe het licht in de gang alsjeblieft even uit als je de laatste bent die naar boven gaat.,Please turn off the light in the hallway if you are the last one to go upstairs.,
