Dutch Word,English Translation,"Grammar Note (POS, gender, separable verb, etc.)",Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
advies,advice,"noun, het",-,-,-,De ervaren docent gaf mij het waardevolle advies om elke dag korte teksten te lezen om mijn woordenschat te vergroten.,The experienced teacher gave me the valuable advice to read short texts every day to increase my vocabulary.,
aanvraag,application,"noun, de",-,-,-,Ik heb de officiële aanvraag voor mijn nieuwe paspoort online ingevuld en daarna direct per e-mail naar de gemeente verstuurd.,I filled in the official application for my new passport online and then sent it directly to the municipality by email.,
afspraak,appointment,"noun, de",-,-,-,Ik heb voor volgende week maandag een afspraak gemaakt bij de gemeente om al mijn documenten persoonlijk in te leveren.,I made an appointment at the municipality for next Monday to submit all my documents in person.,
ervaring,experience,"noun, de",-,-,-,Door mijn jarenlange werkervaring in de techniek kan ik nieuwe en complexe taken veel sneller begrijpen en uitvoeren.,"Through my years of work experience in technology, I can understand and perform new and complex tasks much more quickly.",
situatie,situation,"noun, de",-,-,-,"In deze lastige situatie is het heel belangrijk om rustig te blijven, goed te luisteren en niet te snel te reageren.","In this difficult situation, it is very important to stay calm, listen carefully, and not react too quickly.",
aanraden,to recommend,"verb, regular",raad aan,raadde aan,zal aanraden,Ik kan deze intensieve cursus zeker aanraden omdat de lesstof heel goed past bij de behoeften van beginners.,I can definitely recommend this intensive course because the teaching material fits the needs of beginners very well.,
afspreken,to agree/meet,"verb, separable",spreek af,sprak af,zal afspreken,We hebben gisteren met de hele groep afgesproken om morgenmiddag samen te gaan oefenen voor het spannende examen.,We agreed with the whole group yesterday to practice together tomorrow afternoon for the exciting exam.,
meedoen,to participate,"verb, separable",doe mee,deed mee,zal meedoen,Ik doe dit jaar mee aan de taalcursus zodat ik mijn Nederlands op een interactieve manier kan verbeteren.,I am participating in the language course this year so that I can improve my Dutch in an interactive way.,
uitleggen,to explain,"verb, separable",leg uit,legde uit,zal uitleggen,De leraar legt tijdens de les stap voor stap uit hoe de grammatica van de nieuwe opdracht precies werkt.,The teacher explains step by step during the lesson exactly how the grammar of the new assignment works.,
voorbereiden,to prepare,"verb, regular",bereid voor,bereidde voor,zal voorbereiden,Ik bereid me deze week heel goed voor zodat ik hopelijk veel minder stress heb tijdens het grote examen.,I am preparing very well this week so that I will hopefully have much less stress during the big exam.,
verplicht,mandatory,adjective,-,-,-,Het is in Nederland verplicht om altijd een geldig identiteitsbewijs mee te nemen als je naar een officieel examen gaat.,"In the Netherlands, it is mandatory to always bring a valid ID when you go to an official exam.",
beschikbaar,available,adjective,-,-,-,De docent is deze hele week beschikbaar voor studenten die extra vragen hebben over de moeilijke leerstof.,The teacher is available all this week for students who have extra questions about the difficult subject matter.,
duidelijk,clear,adjective,-,-,-,"De uitleg van de professor was erg duidelijk, waardoor iedereen in de klas de moeilijke opdracht meteen begreep.","The professor's explanation was very clear, so everyone in the class understood the difficult task immediately.",
