Dutch Word,English Translation,Grammar Note,Present Tense,Past Tense,Future Tense,Example Sentence (Dutch),Example Sentence (English),Progress
werk,work,"noun, het",-,-,-,"Ik heb vandaag ontzettend veel werk te doen op kantoor, dus ik kom vanavond waarschijnlijk wat later thuis.","I have an awful lot of work to do at the office today, so I will probably come home a bit later tonight.",
kantoor,office,"noun, het",-,-,-,Ons nieuwe kantoor bevindt zich in een prachtig historisch pand midden in het centrum van de stad.,Our new office is located in a beautiful historic building right in the center of the city.,
collega,colleague,"noun, de",-,-,-,"Mijn collega heeft me geholpen met het afronden van het project, waarvoor ik hem erg dankbaar ben.","My colleague helped me finish the project, for which I am very grateful to him.",
vergadering,meeting,"noun, de",-,-,-,De vergadering over de nieuwe marketingstrategie duurt waarschijnlijk de hele middag en is erg belangrijk.,The meeting about the new marketing strategy will probably last all afternoon and is very important.,
salaris,salary,"noun, het",-,-,-,Aan het einde van de maand wordt mijn salaris altijd netjes op mijn bankrekening gestort door mijn werkgever.,"At the end of the month, my salary is always neatly deposited into my bank account by my employer.",
beroep,profession / job,"noun, het",-,-,-,Wat voor beroep zou je later graag willen uitoefenen als je klaar bent met je studie aan de universiteit?,What kind of profession would you like to practice later when you have finished your studies at university?,
ervaring,experience,"noun, de",-,-,-,Voor deze functie zijn we op zoek naar iemand met minimaal vijf jaar ervaring in de IT-sector.,"For this position, we are looking for someone with at least five years of experience in the IT sector.",
solliciteren,to apply (for a job),"verb, regular",solliciteer,solliciteerde,zal solliciteren,Ik ga morgen solliciteren naar de functie van manager bij een groot internationaal bedrijf in Rotterdam.,I am going to apply for the position of manager at a large international company in Rotterdam tomorrow.,
baas,boss,"noun, de",-,-,-,Mijn baas is erg tevreden over de resultaten die ons team de afgelopen maanden heeft behaald.,My boss is very satisfied with the results our team has achieved over the past few months.,
bedrijf,company,"noun, het",-,-,-,Het bedrijf waar ik werk is gespecialiseerd in het ontwikkelen van duurzame energieoplossingen voor woningen.,The company where I work specializes in developing sustainable energy solutions for homes.,
school,school,"noun, de",-,-,-,"De kinderen gaan elke ochtend met de fiets naar school, behalve als het heel erg hard regent.","The children go to school by bicycle every morning, except when it is raining very hard.",
leraar,teacher (male),"noun, de",-,-,-,"De leraar legt de moeilijke grammatica erg duidelijk uit, waardoor ik het nu eindelijk goed begrijp.","The teacher explains the difficult grammar very clearly, so I finally understand it well now.",
lerares,teacher (female),"noun, de",-,-,-,Onze lerares Nederlands is erg geduldig en helpt ons altijd met het verbeteren van onze uitspraak.,Our Dutch teacher is very patient and always helps us improve our pronunciation.,
les,lesson / class,"noun, de",-,-,-,Tijdens de les moeten we onze telefoons in onze tas doen zodat we niet worden afgeleid.,"During the lesson, we have to put our phones in our bags so that we are not distracted.",
huiswerk,homework,"noun, het",-,-,-,"Ik moet vanavond nog veel huiswerk maken voor wiskunde, want we hebben morgen een belangrijke toets.",I still have to do a lot of math homework tonight because we have an important test tomorrow.,
examen,exam,"noun, het",-,-,-,"Hij was erg zenuwachtig voor zijn eindexamen, maar gelukkig is hij met hele goede cijfers geslaagd.","He was very nervous about his final exam, but fortunately, he passed with very good grades.",
diploma,diploma / degree,"noun, het",-,-,-,Na vier jaar hard studeren heeft zij eindelijk haar diploma in ontvangst mogen nemen tijdens de ceremonie.,"After four years of hard studying, she was finally able to receive her diploma during the ceremony.",
cijfer,grade / number,"noun, het",-,-,-,"Ik heb een goed cijfer gehaald voor mijn geschiedenisproject, waar ik erg trots op ben.","I got a good grade for my history project, which I am very proud of.",
leren,to learn / study,"verb, regular",leer,leerde,zal leren,Ik probeer elke dag minimaal tien nieuwe woorden te leren om mijn woordenschat snel te vergroten.,I try to learn at least ten new words every day to quickly expand my vocabulary.,
begrijpen,to understand,"verb, irregular",begrijp,begreep,zal begrijpen,"Ik kan de instructies niet goed begrijpen, zou je ze alsjeblieft nog een keer willen uitleggen?",I cannot understand the instructions well; would you please explain them one more time?,
uitleggen,to explain,"verb, separable",leg uit,legde uit,zal uitleggen,De gids kon ons veel vertellen over de geschiedenis van de stad en legde alles heel boeiend uit.,The guide could tell us a lot about the history of the city and explained everything very fascinatingly.,
vraag,question,"noun, de",-,-,-,"Als je een vraag hebt over de oefening, kun je altijd je hand opsteken tijdens de les.","If you have a question about the exercise, you can always raise your hand during the lesson.",
antwoord,answer,"noun, het",-,-,-,Het antwoord op die moeilijke vraag staat op pagina honderd van het leerboek dat we gebruiken.,The answer to that difficult question is on page one hundred of the textbook we are using.,
blij,happy,adjective,-,-,-,"Ik ben erg blij dat je bent gekomen naar mijn verjaardagsfeestje, het is echt heel gezellig.",I am very happy that you came to my birthday party; it is really very pleasant.,
verdrietig,sad,adjective,-,-,-,Zij voelde zich een beetje verdrietig nadat ze afscheid had genomen van haar vrienden op het vliegveld.,She felt a bit sad after saying goodbye to her friends at the airport.,
boos,angry,adjective,-,-,-,Hij was erg boos omdat zijn nieuwe fiets was gestolen terwijl hij in de supermarkt was.,He was very angry because his new bicycle had been stolen while he was in the supermarket.,
